Date,URL,m3u8_url
2021-10-21,https://www.adminmonitor.com/tx/puct/open_meeting/20211021/,https://dj13yv2opnszq.cloudfront.net/videos/am_2288_Open_Meeting_2021_10_21_auto1_1740959522_KYpc71/master.m3u8
2021-10-07,https://www.adminmonitor.com/tx/puct/open_meeting/20211007/,https://dj13yv2opnszq.cloudfront.net/videos/am_2266_Open_Meeting_2021_10_07_auto1_1740952322_b09JJ8/master.m3u8
2021-09-30,https://www.adminmonitor.com/tx/puct/open_meeting/20210930/,https://dj13yv2opnszq.cloudfront.net/videos/am_2273_Open_Meeting_2021_09_30_auto1_1740952862_DLnMLt/master.m3u8
2021-09-23,https://www.adminmonitor.com/tx/puct/open_meeting/20210923/,https://dj13yv2opnszq.cloudfront.net/videos/am_2238_Open_Meeting_2021_09_23_auto1_1740414061_VIVJOp/master.m3u8
2021-09-02,https://www.adminmonitor.com/tx/puct/open_meeting/20210902/,https://dj13yv2opnszq.cloudfront.net/videos/am_2217_Open_Meeting_2021_09_02_auto1_1740949981_9FSLkG/master.m3u8
2021-08-19,https://www.adminmonitor.com/tx/puct/open_meeting/20210819/,https://dj13yv2opnszq.cloudfront.net/videos/am_2215_Open_Meeting_2021_08_19_auto1_1740950401_Qktis2/master.m3u8
2021-07-29,https://www.adminmonitor.com/tx/puct/open_meeting/20210729/,https://dj13yv2opnszq.cloudfront.net/videos/am_2185_Open_Meeting_2021_07_29_auto1_1740937323_fTk0j1/master.m3u8
2021-07-15,https://www.adminmonitor.com/tx/puct/open_meeting/20210715/,https://dj13yv2opnszq.cloudfront.net/videos/am_2159_Open_Meeting_2021_07_15_auto1_1740939181_MXEPRW/master.m3u8
2021-06-24,https://www.adminmonitor.com/tx/puct/open_meeting/20210624/,https://dj13yv2opnszq.cloudfront.net/videos/am_2131_Open_Meeting_2021_06_24_auto1_1740354662_zsmkm6/master.m3u8
2021-06-17,https://www.adminmonitor.com/tx/puct/open_meeting/20210617/,https://dj13yv2opnszq.cloudfront.net/videos/am_2130_Open_Meeting_2021_06_17_auto1_1740361261_jFqquS/master.m3u8
2021-06-11,https://www.adminmonitor.com/tx/puct/open_meeting/20210611/,https://dj13yv2opnszq.cloudfront.net/videos/am_2129_Open_Meeting_2021_06_11_auto1_1740356461_W33Lbe/master.m3u8
2021-06-03,https://www.adminmonitor.com/tx/puct/open_meeting/20210603/,https://dj13yv2opnszq.cloudfront.net/videos/am_2128_Open_Meeting_2021_06_03_auto1_1740353462_5RFt17/master.m3u8
2021-05-21,https://www.adminmonitor.com/tx/puct/open_meeting/20210521/,https://dj13yv2opnszq.cloudfront.net/videos/am_2085_Open_Meeting_2021_05_21_auto1_1740929463_NfltLr/master.m3u8
2021-05-06,https://www.adminmonitor.com/tx/puct/open_meeting/20210506/,https://dj13yv2opnszq.cloudfront.net/videos/am_2084_Open_Meeting_2021_05_06_auto1_1740358922_n6S5pf/master.m3u8
2021-04-07,https://www.adminmonitor.com/tx/puct/open_meeting/20210407/,https://dj13yv2opnszq.cloudfront.net/videos/am_2049_Open_Meeting_2021_04_07_auto1_1740357062_ldviTg/master.m3u8
2021-03-18,https://www.adminmonitor.com/tx/puct/open_meeting/20210318/,
2021-03-12,https://www.adminmonitor.com/tx/puct/open_meeting/20210312/,https://dj13yv2opnszq.cloudfront.net/videos/am_2040_Open_Meeting_2021_03_12_auto1_1740355861_qZElPE/master.m3u8
2021-03-11,https://www.adminmonitor.com/tx/puct/open_meeting/20210311/,
2021-03-05,https://www.adminmonitor.com/tx/puct/open_meeting/20210305/,https://dj13yv2opnszq.cloudfront.net/videos/am_2028_Open_Meeting_2021_03_05_auto1_1740348662_UGdN4G/master.m3u8
2021-03-03,https://www.adminmonitor.com/tx/puct/open_meeting/20210303/,https://dj13yv2opnszq.cloudfront.net/videos/am_2027_Open_Meeting_2021_03_03_auto1_1740349261_RB6Qoo/master.m3u8
2021-02-26,https://www.adminmonitor.com/tx/puct/open_meeting/20210226/,
2021-02-21,https://www.adminmonitor.com/tx/puct/open_meeting/20210221/,https://dj13yv2opnszq.cloudfront.net/videos/am_2018_Open_Meeting_2021_02_21_auto1_1740913862_hPyNoy/master.m3u8
2021-02-19,https://www.adminmonitor.com/tx/puct/open_meeting/20210219/,https://dj13yv2opnszq.cloudfront.net/videos/am_2000_Open_Meeting_2021_02_19_auto1_1740352861_xy4i3v/master.m3u8
2021-02-17,https://www.adminmonitor.com/tx/puct/open_meeting/20210217/,https://dj13yv2opnszq.cloudfront.net/videos/am_1997_Open_Meeting_2021_02_17_auto1_1740910324_tfrqa2/master.m3u8
2021-02-16,https://www.adminmonitor.com/tx/puct/open_meeting/20210216/,https://dj13yv2opnszq.cloudfront.net/videos/am_1993_Open_Meeting_2021_02_16_auto1_1740349861_v0W6aw/master.m3u8
2021-02-15,https://www.adminmonitor.com/tx/puct/open_meeting/20210215/,https://dj13yv2opnszq.cloudfront.net/videos/am_1991_Open_Meeting_2021_02_15_auto1_1740351721_coXILg/master.m3u8
2021-02-12,https://www.adminmonitor.com/tx/puct/open_meeting/20210212/,https://dj13yv2opnszq.cloudfront.net/videos/am_1982_Open_Meeting_2021_02_12_auto1_1740914405_XAdJVB/master.m3u8
2021-01-29,https://www.adminmonitor.com/tx/puct/open_meeting/20210129/,https://dj13yv2opnszq.cloudfront.net/videos/am_1953_Open_Meeting_2021_01_29_auto1_1740343861_wvIUjW/master.m3u8
2021-01-14,https://www.adminmonitor.com/tx/puct/open_meeting/20210114/,https://dj13yv2opnszq.cloudfront.net/videos/am_1935_Open_Meeting_2021_01_14_auto1_1740355322_SRCNhL/master.m3u8
